user_id,signup_date,plan,industry,company_size,acquisition_channel,country
U0049,2023-01-17 00:00:00,starter,Finance,1-10,organic,USA
U0050,2023-01-17 08:00:00,free,SaaS,51-200,organic,USA
U0051,2023-01-17 16:00:00,enterprise,Finance,51-200,organic,Other
U0052,2023-01-18 00:00:00,pro,Education,1-10,referral,USA
U0053,2023-01-18 08:00:00,enterprise,Retail,1-10,paid_search,India
U0054,2023-01-18 16:00:00,pro,SaaS,51-200,organic,India
U0055,2023-01-19 00:00:00,starter,Education,11-50,paid_search,Germany
U0056,2023-01-19 08:00:00,enterprise,Ecommerce,1-10,organic,Other
U0057,2023-01-19 16:00:00,free,SaaS,1000+,organic,USA
U0058,2023-01-20 00:00:00,free,Education,1-10,referral,USA
U0059,2023-01-20 08:00:00,free,Ecommerce,51-200,direct,USA
U0060,2023-01-20 16:00:00,free,Finance,1000+,social,UK
U0061,2023-01-21 00:00:00,free,Retail,1-10,organic,USA
U0062,2023-01-21 08:00:00,free,Ecommerce,1-10,social,USA
U0063,2023-01-21 16:00:00,pro,Healthcare,1-10,referral,Australia
U0064,2023-01-22 00:00:00,free,Ecommerce,11-50,referral,Other
U0065,2023-01-22 08:00:00,free,Ecommerce,1-10,paid_search,USA
U0066,2023-01-22 16:00:00,starter,Retail,51-200,paid_search,USA
U0067,2023-01-23 00:00:00,free,Healthcare,1-10,organic,France
U0068,2023-01-23 08:00:00,pro,Education,11-50,organic,USA
U0069,2023-01-23 16:00:00,free,Education,1000+,organic,USA
U0070,2023-01-24 00:00:00,enterprise,Ecommerce,201-1000,organic,USA
U0071,2023-01-24 08:00:00,pro,Healthcare,51-200,paid_search,Canada
U0072,2023-01-24 16:00:00,free,Healthcare,11-50,referral,USA
U0073,2023-01-25 00:00:00,free,Retail,51-200,paid_search,Other
U0074,2023-01-25 08:00:00,pro,Finance,11-50,organic,UK
U0075,2023-01-25 16:00:00,pro,Education,11-50,direct,UK
U0076,2023-01-26 00:00:00,pro,Retail,1-10,direct,USA
U0077,2023-01-26 08:00:00,pro,SaaS,201-1000,referral,UK
U0078,2023-01-26 16:00:00,free,Education,11-50,direct,Germany
U0079,2023-01-27 00:00:00,free,Retail,1-10,paid_search,India
U0080,2023-01-27 08:00:00,free,Education,11-50,direct,India
U0081,2023-01-27 16:00:00,pro,Finance,11-50,organic,Canada
U0082,2023-01-28 00:00:00,starter,SaaS,201-1000,paid_search,France
U0083,2023-01-28 08:00:00,free,Finance,51-200,organic,Australia
U0084,2023-01-28 16:00:00,free,SaaS,51-200,organic,India
U0085,2023-01-29 00:00:00,free,Ecommerce,1-10,organic,USA
U0086,2023-01-29 08:00:00,free,Retail,11-50,referral,USA
U0087,2023-01-29 16:00:00,pro,SaaS,11-50,referral,USA
U0088,2023-01-30 00:00:00,starter,Finance,1-10,paid_search,Germany
U0089,2023-01-30 08:00:00,pro,Education,1-10,organic,UK
U0090,2023-01-30 16:00:00,starter,SaaS,51-200,social,UK
U0091,2023-01-31 00:00:00,free,Retail,1-10,referral,France
U0092,2023-01-31 08:00:00,pro,SaaS,11-50,paid_search,France
U0093,2023-01-31 16:00:00,pro,Healthcare,1-10,referral,France
U0094,2023-02-01 00:00:00,starter,Education,1-10,organic,USA
U0095,2023-02-01 08:00:00,pro,Retail,1-10,organic,Germany
U0096,2023-02-01 16:00:00,starter,Retail,1000+,social,USA
U0097,2023-02-02 00:00:00,starter,Ecommerce,201-1000,organic,USA
U0098,2023-02-02 08:00:00,starter,Finance,1000+,paid_search,USA
U0099,2023-02-02 16:00:00,free,Ecommerce,11-50,social,USA
U0100,2023-02-03 00:00:00,free,Retail,1-10,referral,UK
U0101,2023-02-03 08:00:00,free,Education,11-50,organic,Australia
U0102,2023-02-03 16:00:00,starter,SaaS,11-50,organic,USA
U0103,2023-02-04 00:00:00,free,SaaS,201-1000,organic,India
U0104,2023-02-04 08:00:00,starter,Education,1-10,referral,Canada
U0105,2023-02-04 16:00:00,enterprise,Retail,11-50,paid_search,USA
U0106,2023-02-05 00:00:00,free,SaaS,1-10,organic,UK
U0107,2023-02-05 08:00:00,starter,SaaS,11-50,direct,USA
U0108,2023-02-05 16:00:00,pro,SaaS,51-200,paid_search,Canada
U0109,2023-02-06 00:00:00,free,Finance,11-50,organic,UK
U0110,2023-02-06 08:00:00,free,Finance,11-50,paid_search,USA
U0111,2023-02-06 16:00:00,free,Healthcare,11-50,referral,USA
U0112,2023-02-07 00:00:00,free,Ecommerce,11-50,organic,Canada
U0113,2023-02-07 08:00:00,enterprise,Education,51-200,organic,France
U0114,2023-02-07 16:00:00,pro,Education,201-1000,social,USA
U0115,2023-02-08 00:00:00,starter,Education,1000+,paid_search,India
U0116,2023-02-08 08:00:00,pro,Healthcare,51-200,paid_search,Germany
U0117,2023-02-08 16:00:00,pro,Finance,11-50,paid_search,Other
U0118,2023-02-09 00:00:00,free,Retail,51-200,organic,Australia
U0119,2023-02-09 08:00:00,pro,Retail,11-50,organic,Canada
U0120,2023-02-09 16:00:00,starter,Healthcare,1-10,paid_search,Germany
U0121,2023-02-10 00:00:00,pro,Retail,201-1000,organic,France
U0122,2023-02-10 08:00:00,pro,Education,1-10,organic,USA
U0123,2023-02-10 16:00:00,free,Ecommerce,201-1000,social,USA
U0124,2023-02-11 00:00:00,free,SaaS,11-50,direct,USA
U0125,2023-02-11 08:00:00,free,Finance,51-200,referral,Australia
U0126,2023-02-11 16:00:00,starter,Finance,51-200,social,Australia
U0127,2023-02-12 00:00:00,pro,Healthcare,201-1000,organic,USA
U0128,2023-02-12 08:00:00,pro,Finance,51-200,direct,Canada
U0129,2023-02-12 16:00:00,free,Education,51-200,organic,UK
U0130,2023-02-13 00:00:00,starter,Retail,1-10,direct,USA
U0131,2023-02-13 08:00:00,starter,Education,11-50,direct,Other
U0132,2023-02-13 16:00:00,free,Healthcare,1-10,referral,USA
U0133,2023-02-14 00:00:00,free,Education,51-200,direct,USA
U0134,2023-02-14 08:00:00,free,Retail,11-50,paid_search,Canada
U0135,2023-02-14 16:00:00,enterprise,Ecommerce,51-200,organic,India
U0136,2023-02-15 00:00:00,free,Healthcare,1-10,paid_search,USA
U0137,2023-02-15 08:00:00,starter,Ecommerce,1-10,paid_search,Germany
U0138,2023-02-15 16:00:00,pro,SaaS,51-200,organic,Canada
U0139,2023-02-16 00:00:00,free,Ecommerce,1-10,referral,USA
U0140,2023-02-16 08:00:00,enterprise,SaaS,1-10,direct,USA
U0141,2023-02-16 16:00:00,enterprise,SaaS,1-10,organic,Canada
U0142,2023-02-17 00:00:00,free,Ecommerce,1000+,referral,USA
U0143,2023-02-17 08:00:00,starter,Healthcare,51-200,social,Other
U0144,2023-02-17 16:00:00,free,Retail,11-50,direct,Australia
U0145,2023-02-18 00:00:00,free,Education,1-10,direct,Other
U0146,2023-02-18 08:00:00,free,Education,11-50,paid_search,USA
U0147,2023-02-18 16:00:00,starter,Retail,51-200,direct,Other
U0148,2023-02-19 00:00:00,starter,SaaS,51-200,referral,UK
U0149,2023-02-19 08:00:00,free,SaaS,1-10,organic,USA
U0150,2023-02-19 16:00:00,free,Healthcare,1-10,paid_search,USA
U0151,2023-02-20 00:00:00,enterprise,Finance,1-10,referral,USA
U0152,2023-02-20 08:00:00,free,Ecommerce,51-200,organic,Germany
U0153,2023-02-20 16:00:00,free,SaaS,51-200,referral,UK
U0154,2023-02-21 00:00:00,starter,Education,1-10,referral,USA
U0155,2023-02-21 08:00:00,enterprise,Healthcare,1-10,organic,Canada
U0156,2023-02-21 16:00:00,free,Ecommerce,1-10,paid_search,USA
U0157,2023-02-22 00:00:00,starter,Healthcare,1000+,referral,Canada
U0158,2023-02-22 08:00:00,pro,Ecommerce,1-10,paid_search,USA
U0159,2023-02-22 16:00:00,free,Ecommerce,51-200,organic,Australia
U0160,2023-02-23 00:00:00,pro,Retail,51-200,organic,Australia
U0161,2023-02-23 08:00:00,free,SaaS,11-50,paid_search,UK
U0162,2023-02-23 16:00:00,starter,Healthcare,1-10,direct,USA
U0163,2023-02-24 00:00:00,starter,Healthcare,1-10,organic,USA
U0164,2023-02-24 08:00:00,starter,Retail,51-200,referral,Australia
U0165,2023-02-24 16:00:00,free,Education,51-200,organic,USA
U0166,2023-02-25 00:00:00,pro,Education,51-200,organic,USA
U0167,2023-02-25 08:00:00,free,SaaS,11-50,social,USA
U0168,2023-02-25 16:00:00,free,SaaS,1-10,referral,UK
U0169,2023-02-26 00:00:00,free,Finance,1000+,organic,UK
U0170,2023-02-26 08:00:00,starter,Retail,51-200,paid_search,Australia
U0171,2023-02-26 16:00:00,starter,Education,1-10,organic,USA
U0172,2023-02-27 00:00:00,free,Ecommerce,1000+,paid_search,USA
U0173,2023-02-27 08:00:00,starter,Healthcare,51-200,referral,Australia
U0174,2023-02-27 16:00:00,free,SaaS,11-50,organic,Australia
U0175,2023-02-28 00:00:00,starter,Healthcare,51-200,organic,USA
U0176,2023-02-28 08:00:00,free,Healthcare,201-1000,paid_search,UK
U0177,2023-02-28 16:00:00,starter,Finance,51-200,social,USA
U0178,2023-03-01 00:00:00,free,Education,1-10,direct,Other
U0179,2023-03-01 08:00:00,enterprise,SaaS,11-50,organic,USA
U0180,2023-03-01 16:00:00,free,Healthcare,201-1000,referral,Other
U0181,2023-03-02 00:00:00,free,SaaS,1-10,paid_search,Germany
U0182,2023-03-02 08:00:00,free,Ecommerce,11-50,paid_search,Canada
U0183,2023-03-02 16:00:00,enterprise,Finance,11-50,referral,USA
U0184,2023-03-03 00:00:00,pro,Ecommerce,11-50,social,UK
U0185,2023-03-03 08:00:00,free,SaaS,51-200,direct,UK
U0186,2023-03-03 16:00:00,starter,SaaS,201-1000,paid_search,USA
U0187,2023-03-04 00:00:00,pro,Education,1-10,paid_search,Germany
U0188,2023-03-04 08:00:00,starter,Healthcare,1-10,referral,Other
U0189,2023-03-04 16:00:00,starter,Healthcare,1-10,organic,Canada
U0190,2023-03-05 00:00:00,free,Ecommerce,201-1000,paid_search,India
U0191,2023-03-05 08:00:00,free,Finance,51-200,paid_search,USA
U0192,2023-03-05 16:00:00,pro,Retail,1-10,referral,UK
U0193,2023-03-06 00:00:00,enterprise,Healthcare,201-1000,organic,USA
U0194,2023-03-06 08:00:00,starter,Education,201-1000,organic,Canada
U0195,2023-03-06 16:00:00,free,Ecommerce,201-1000,social,Other
U0196,2023-03-07 00:00:00,free,Ecommerce,201-1000,organic,Germany
U0197,2023-03-07 08:00:00,pro,Retail,1-10,paid_search,USA
U0198,2023-03-07 16:00:00,pro,Education,51-200,organic,USA
U0199,2023-03-08 00:00:00,pro,Finance,11-50,organic,Canada
U0200,2023-03-08 08:00:00,pro,Education,201-1000,organic,UK
U0201,2023-03-08 16:00:00,starter,Finance,51-200,organic,Australia
U0202,2023-03-09 00:00:00,free,Education,51-200,social,Australia
U0203,2023-03-09 08:00:00,free,Education,51-200,organic,Canada
U0204,2023-03-09 16:00:00,pro,SaaS,1-10,direct,USA
U0205,2023-03-10 00:00:00,starter,Ecommerce,11-50,paid_search,USA
U0206,2023-03-10 08:00:00,free,Education,1000+,paid_search,USA
U0207,2023-03-10 16:00:00,free,Retail,201-1000,paid_search,USA
U0208,2023-03-11 00:00:00,starter,Education,1-10,paid_search,UK
U0209,2023-03-11 08:00:00,free,Healthcare,1-10,referral,Germany
U0210,2023-03-11 16:00:00,free,Ecommerce,1-10,organic,Germany
U0211,2023-03-12 00:00:00,starter,Healthcare,51-200,paid_search,USA
U0212,2023-03-12 08:00:00,starter,Ecommerce,201-1000,social,USA
U0213,2023-03-12 16:00:00,starter,Healthcare,1-10,direct,USA
U0214,2023-03-13 00:00:00,free,Education,11-50,social,USA
U0215,2023-03-13 08:00:00,pro,Education,201-1000,paid_search,Australia
U0216,2023-03-13 16:00:00,free,SaaS,51-200,referral,USA
U0217,2023-03-14 00:00:00,free,Retail,11-50,paid_search,UK
U0218,2023-03-14 08:00:00,pro,Healthcare,11-50,paid_search,USA
U0219,2023-03-14 16:00:00,starter,Finance,11-50,organic,France
U0220,2023-03-15 00:00:00,pro,SaaS,1-10,paid_search,Canada
U0221,2023-03-15 08:00:00,starter,Healthcare,11-50,organic,USA
U0222,2023-03-15 16:00:00,starter,Healthcare,51-200,organic,UK
U0223,2023-03-16 00:00:00,free,SaaS,201-1000,social,India
U0224,2023-03-16 08:00:00,free,Education,51-200,organic,Other
U0225,2023-03-16 16:00:00,free,Healthcare,51-200,organic,USA
U0226,2023-03-17 00:00:00,free,Education,1-10,organic,France
U0227,2023-03-17 08:00:00,enterprise,SaaS,11-50,direct,Other
U0228,2023-03-17 16:00:00,free,Education,1-10,paid_search,France
U0229,2023-03-18 00:00:00,pro,Ecommerce,1-10,paid_search,Germany
U0230,2023-03-18 08:00:00,starter,Finance,51-200,social,Germany
U0231,2023-03-18 16:00:00,pro,Healthcare,1000+,social,UK
U0232,2023-03-19 00:00:00,starter,Retail,1-10,organic,India
U0233,2023-03-19 08:00:00,starter,Finance,11-50,referral,Canada
U0234,2023-03-19 16:00:00,starter,Education,201-1000,referral,Germany
U0235,2023-03-20 00:00:00,free,Healthcare,1-10,referral,UK
U0236,2023-03-20 08:00:00,pro,Education,11-50,organic,India
U0237,2023-03-20 16:00:00,free,Ecommerce,51-200,social,Australia
U0238,2023-03-21 00:00:00,free,SaaS,51-200,paid_search,USA
U0239,2023-03-21 08:00:00,starter,Healthcare,1-10,organic,Australia
U0240,2023-03-21 16:00:00,free,Ecommerce,11-50,paid_search,Canada
U0241,2023-03-22 00:00:00,enterprise,Ecommerce,51-200,organic,Australia
U0242,2023-03-22 08:00:00,enterprise,Healthcare,11-50,organic,UK
U0243,2023-03-22 16:00:00,enterprise,Education,1-10,referral,USA
U0244,2023-03-23 00:00:00,free,Retail,51-200,organic,France
U0245,2023-03-23 08:00:00,free,Ecommerce,1-10,paid_search,USA
U0246,2023-03-23 16:00:00,enterprise,Finance,51-200,paid_search,Australia
U0247,2023-03-24 00:00:00,starter,Ecommerce,1-10,organic,UK
U0248,2023-03-24 08:00:00,enterprise,Retail,1000+,direct,UK
U0249,2023-03-24 16:00:00,enterprise,Education,11-50,organic,USA
U0250,2023-03-25 00:00:00,pro,Education,11-50,organic,Canada
U0251,2023-03-25 08:00:00,free,Finance,1-10,organic,USA
U0252,2023-03-25 16:00:00,free,Ecommerce,11-50,organic,USA
U0253,2023-03-26 00:00:00,pro,Education,201-1000,organic,USA
U0254,2023-03-26 08:00:00,free,Retail,1000+,referral,USA
U0255,2023-03-26 16:00:00,free,Healthcare,11-50,direct,Other
U0256,2023-03-27 00:00:00,starter,SaaS,11-50,organic,Other
U0257,2023-03-27 08:00:00,enterprise,SaaS,51-200,referral,USA
U0258,2023-03-27 16:00:00,starter,SaaS,201-1000,referral,India
U0259,2023-03-28 00:00:00,starter,Ecommerce,11-50,social,USA
U0260,2023-03-28 08:00:00,free,Finance,11-50,paid_search,Germany
U0261,2023-03-28 16:00:00,starter,Education,11-50,organic,Australia
U0262,2023-03-29 00:00:00,enterprise,Healthcare,51-200,organic,Other
U0263,2023-03-29 08:00:00,free,Retail,1-10,referral,UK
U0264,2023-03-29 16:00:00,starter,Healthcare,51-200,social,India
U0265,2023-03-30 00:00:00,pro,Retail,11-50,organic,USA
U0266,2023-03-30 08:00:00,pro,Ecommerce,51-200,paid_search,Other
U0267,2023-03-30 16:00:00,starter,SaaS,1-10,social,USA
U0268,2023-03-31 00:00:00,pro,Ecommerce,11-50,social,Canada
U0269,2023-03-31 08:00:00,free,Finance,11-50,direct,Germany
U0270,2023-03-31 16:00:00,free,Finance,51-200,referral,Germany
U0271,2023-04-01 00:00:00,pro,Retail,1-10,paid_search,USA
U0272,2023-04-01 08:00:00,pro,Education,11-50,paid_search,Other
U0273,2023-04-01 16:00:00,pro,Education,11-50,referral,USA
U0274,2023-04-02 00:00:00,enterprise,Retail,11-50,organic,Germany
U0275,2023-04-02 08:00:00,starter,Finance,51-200,paid_search,USA
U0276,2023-04-02 16:00:00,starter,Finance,51-200,referral,USA
U0277,2023-04-03 00:00:00,pro,Finance,201-1000,organic,Canada
U0278,2023-04-03 08:00:00,starter,Ecommerce,1-10,referral,UK
U0279,2023-04-03 16:00:00,pro,Finance,201-1000,paid_search,USA
U0280,2023-04-04 00:00:00,pro,Healthcare,11-50,direct,USA
U0281,2023-04-04 08:00:00,pro,SaaS,1-10,organic,UK
U0282,2023-04-04 16:00:00,free,Finance,1-10,organic,India
U0283,2023-04-05 00:00:00,free,Retail,11-50,referral,France
U0284,2023-04-05 08:00:00,free,SaaS,51-200,organic,USA
U0285,2023-04-05 16:00:00,starter,Ecommerce,51-200,referral,USA
U0286,2023-04-06 00:00:00,free,Retail,51-200,referral,USA
U0287,2023-04-06 08:00:00,starter,SaaS,11-50,organic,USA
U0288,2023-04-06 16:00:00,starter,Retail,11-50,paid_search,Germany
U0289,2023-04-07 00:00:00,free,Ecommerce,1-10,paid_search,Canada
U0290,2023-04-07 08:00:00,starter,Healthcare,11-50,paid_search,USA
U0291,2023-04-07 16:00:00,free,Ecommerce,11-50,direct,USA
U0292,2023-04-08 00:00:00,free,Ecommerce,1-10,social,USA
U0293,2023-04-08 08:00:00,pro,Retail,1-10,referral,Australia
U0294,2023-04-08 16:00:00,free,Education,11-50,referral,Other
U0295,2023-04-09 00:00:00,free,Finance,51-200,paid_search,USA
U0296,2023-04-09 08:00:00,starter,Finance,1000+,direct,USA
U0297,2023-04-09 16:00:00,pro,Healthcare,201-1000,referral,Australia
U0298,2023-04-10 00:00:00,free,Healthcare,51-200,referral,France
U0299,2023-04-10 08:00:00,starter,Finance,11-50,social,UK
U0300,2023-04-10 16:00:00,free,Education,51-200,organic,USA
U0301,2023-04-11 00:00:00,free,Finance,51-200,social,USA
U0302,2023-04-11 08:00:00,starter,Education,1-10,organic,Canada
U0303,2023-04-11 16:00:00,starter,Healthcare,11-50,organic,USA
U0304,2023-04-12 00:00:00,starter,SaaS,201-1000,organic,USA
U0305,2023-04-12 08:00:00,pro,Retail,11-50,direct,Canada
U0306,2023-04-12 16:00:00,enterprise,Healthcare,11-50,social,USA
U0307,2023-04-13 00:00:00,starter,Healthcare,11-50,referral,India
U0308,2023-04-13 08:00:00,free,Ecommerce,1-10,referral,USA
U0309,2023-04-13 16:00:00,pro,Ecommerce,11-50,paid_search,USA
U0310,2023-04-14 00:00:00,free,Ecommerce,11-50,direct,Canada
U0311,2023-04-14 08:00:00,starter,Retail,1-10,paid_search,USA
U0312,2023-04-14 16:00:00,free,Ecommerce,1-10,paid_search,Other
U0313,2023-04-15 00:00:00,free,Education,201-1000,organic,Canada
U0314,2023-04-15 08:00:00,enterprise,Finance,1-10,referral,USA
U0315,2023-04-15 16:00:00,pro,SaaS,11-50,referral,India
U0316,2023-04-16 00:00:00,starter,Healthcare,1-10,paid_search,USA
U0317,2023-04-16 08:00:00,starter,Education,201-1000,organic,France
U0318,2023-04-16 16:00:00,free,SaaS,1-10,social,USA
U0319,2023-04-17 00:00:00,free,Education,11-50,organic,Canada
U0320,2023-04-17 08:00:00,free,Education,201-1000,referral,USA
U0321,2023-04-17 16:00:00,starter,Healthcare,201-1000,direct,UK
U0322,2023-04-18 00:00:00,pro,Finance,1-10,paid_search,Australia
U0323,2023-04-18 08:00:00,starter,Ecommerce,201-1000,organic,Australia
U0324,2023-04-18 16:00:00,free,Retail,11-50,referral,USA
U0325,2023-04-19 00:00:00,enterprise,Finance,11-50,social,USA
U0326,2023-04-19 08:00:00,pro,Retail,1-10,paid_search,Australia
U0327,2023-04-19 16:00:00,starter,Healthcare,1-10,direct,Other
U0328,2023-04-20 00:00:00,starter,Healthcare,51-200,organic,USA
U0329,2023-04-20 08:00:00,starter,Healthcare,11-50,paid_search,UK
U0330,2023-04-20 16:00:00,free,SaaS,11-50,referral,USA
U0331,2023-04-21 00:00:00,free,Retail,51-200,social,France
U0332,2023-04-21 08:00:00,pro,Finance,51-200,organic,USA
U0333,2023-04-21 16:00:00,free,Finance,1-10,social,USA
U0334,2023-04-22 00:00:00,free,Education,51-200,paid_search,India
U0335,2023-04-22 08:00:00,free,Education,1-10,paid_search,USA
U0336,2023-04-22 16:00:00,free,Education,51-200,organic,UK
U0337,2023-04-23 00:00:00,pro,Healthcare,51-200,social,UK
U0338,2023-04-23 08:00:00,pro,Finance,1000+,organic,USA
U0339,2023-04-23 16:00:00,starter,Retail,1-10,organic,USA
U0340,2023-04-24 00:00:00,free,Healthcare,1-10,organic,Canada
U0341,2023-04-24 08:00:00,starter,SaaS,1-10,social,USA
U0342,2023-04-24 16:00:00,starter,Education,1-10,referral,Canada
U0343,2023-04-25 00:00:00,free,Healthcare,1-10,referral,Australia
U0344,2023-04-25 08:00:00,starter,Healthcare,201-1000,organic,India
U0345,2023-04-25 16:00:00,free,SaaS,1-10,referral,USA
U0346,2023-04-26 00:00:00,starter,Ecommerce,1-10,paid_search,USA
U0347,2023-04-26 08:00:00,starter,Finance,51-200,social,USA
U0348,2023-04-26 16:00:00,free,Retail,11-50,social,USA
U0349,2023-04-27 00:00:00,free,Ecommerce,51-200,organic,UK
U0350,2023-04-27 08:00:00,starter,Education,1-10,referral,Germany
U0351,2023-04-27 16:00:00,starter,Healthcare,11-50,organic,USA
U0352,2023-04-28 00:00:00,pro,SaaS,1-10,paid_search,USA
U0353,2023-04-28 08:00:00,starter,SaaS,1-10,organic,USA
U0354,2023-04-28 16:00:00,free,Finance,201-1000,organic,Germany
U0355,2023-04-29 00:00:00,free,Ecommerce,1-10,paid_search,USA
U0356,2023-04-29 08:00:00,starter,Finance,11-50,referral,Germany
U0357,2023-04-29 16:00:00,free,Healthcare,11-50,organic,USA
U0358,2023-04-30 00:00:00,starter,Finance,11-50,referral,France
U0359,2023-04-30 08:00:00,enterprise,Retail,201-1000,paid_search,France
U0360,2023-04-30 16:00:00,starter,SaaS,1-10,organic,USA
U0361,2023-05-01 00:00:00,free,SaaS,51-200,referral,USA
U0362,2023-05-01 08:00:00,starter,Education,1000+,organic,UK
U0363,2023-05-01 16:00:00,starter,Education,11-50,paid_search,USA
U0364,2023-05-02 00:00:00,starter,Healthcare,201-1000,referral,Germany
U0365,2023-05-02 08:00:00,enterprise,Retail,1-10,organic,Australia
U0366,2023-05-02 16:00:00,free,Ecommerce,11-50,organic,Germany
U0367,2023-05-03 00:00:00,enterprise,Finance,1-10,paid_search,Australia
U0368,2023-05-03 08:00:00,enterprise,Healthcare,51-200,direct,USA
U0369,2023-05-03 16:00:00,free,Education,1000+,referral,USA
U0370,2023-05-04 00:00:00,free,Finance,1-10,referral,India
U0371,2023-05-04 08:00:00,free,Education,51-200,referral,USA
U0372,2023-05-04 16:00:00,free,Finance,1-10,organic,Germany
U0373,2023-05-05 00:00:00,free,Ecommerce,11-50,paid_search,USA
U0374,2023-05-05 08:00:00,starter,Healthcare,11-50,referral,USA
U0375,2023-05-05 16:00:00,free,Finance,1000+,organic,Other
U0376,2023-05-06 00:00:00,free,Retail,51-200,organic,USA
U0377,2023-05-06 08:00:00,pro,SaaS,11-50,organic,Other
U0378,2023-05-06 16:00:00,free,Retail,1-10,paid_search,Other
U0379,2023-05-07 00:00:00,pro,Retail,1-10,direct,India
U0380,2023-05-07 08:00:00,free,SaaS,1-10,organic,Germany
U0381,2023-05-07 16:00:00,free,Retail,1-10,paid_search,Canada
U0382,2023-05-08 00:00:00,starter,Finance,201-1000,organic,Australia
U0383,2023-05-08 08:00:00,starter,Finance,11-50,direct,USA
U0384,2023-05-08 16:00:00,pro,Finance,11-50,organic,UK
U0385,2023-05-09 00:00:00,pro,SaaS,1-10,paid_search,Canada
U0386,2023-05-09 08:00:00,pro,Retail,201-1000,referral,UK
U0387,2023-05-09 16:00:00,free,SaaS,51-200,referral,UK
U0388,2023-05-10 00:00:00,free,Finance,1-10,paid_search,USA
U0389,2023-05-10 08:00:00,pro,Retail,51-200,organic,Canada
U0390,2023-05-10 16:00:00,pro,Retail,11-50,paid_search,Australia
U0391,2023-05-11 00:00:00,enterprise,Education,1-10,organic,USA
U0392,2023-05-11 08:00:00,starter,Education,11-50,organic,Other
U0393,2023-05-11 16:00:00,free,Ecommerce,11-50,paid_search,Germany
U0394,2023-05-12 00:00:00,pro,Healthcare,1-10,organic,Australia
U0395,2023-05-12 08:00:00,free,Education,201-1000,organic,Canada
